Company,Ticker,Year,CEO
Apple Inc.,AAPL,2010,Steve Jobs
Apple Inc.,AAPL,2011,Tim Cook
Apple Inc.,AAPL,2012,Tim Cook
Apple Inc.,AAPL,2013,Tim Cook
Apple Inc.,AAPL,2014,Tim Cook
Apple Inc.,AAPL,2015,Tim Cook
Apple Inc.,AAPL,2016,Tim Cook
Apple Inc.,AAPL,2017,Tim Cook
Apple Inc.,AAPL,2018,Tim Cook
Apple Inc.,AAPL,2019,Tim Cook
Microsoft Corporation,MSFT,2010,Steve Ballmer
Microsoft Corporation,MSFT,2011,Steve Ballmer
Microsoft Corporation,MSFT,2012,Steve Ballmer
Microsoft Corporation,MSFT,2013,Steve Ballmer
Microsoft Corporation,MSFT,2014,Satya Nadella
Microsoft Corporation,MSFT,2015,Satya Nadella
Microsoft Corporation,MSFT,2016,Satya Nadella
Microsoft Corporation,MSFT,2017,Satya Nadella
Microsoft Corporation,MSFT,2018,Satya Nadella
Microsoft Corporation,MSFT,2019,Satya Nadella
NVIDIA Corporation,NVDA,2010,Jensen Huang
NVIDIA Corporation,NVDA,2011,Jensen Huang
NVIDIA Corporation,NVDA,2012,Jensen Huang
NVIDIA Corporation,NVDA,2013,Jensen Huang
NVIDIA Corporation,NVDA,2014,Jensen Huang
NVIDIA Corporation,NVDA,2015,Jensen Huang
NVIDIA Corporation,NVDA,2016,Jensen Huang
NVIDIA Corporation,NVDA,2017,Jensen Huang
NVIDIA Corporation,NVDA,2018,Jensen Huang
NVIDIA Corporation,NVDA,2019,Jensen Huang
Broadcom Inc.,AVGO,2010,Scott A. McGregor
Broadcom Inc.,AVGO,2011,Scott A. McGregor
Broadcom Inc.,AVGO,2012,Scott A. McGregor
Broadcom Inc.,AVGO,2013,Scott A. McGregor
Broadcom Inc.,AVGO,2014,Scott A. McGregor
Broadcom Inc.,AVGO,2015,Scott A. McGregor
Broadcom Inc.,AVGO,2016,Hock Tan
Broadcom Inc.,AVGO,2017,Hock Tan
Broadcom Inc.,AVGO,2018,Hock Tan
Broadcom Inc.,AVGO,2019,Hock Tan
Adobe Inc.,ADBE,2010,Shantanu Narayen
Adobe Inc.,ADBE,2011,Shantanu Narayen
Adobe Inc.,ADBE,2012,Shantanu Narayen
Adobe Inc.,ADBE,2013,Shantanu Narayen
Adobe Inc.,ADBE,2014,Shantanu Narayen
Adobe Inc.,ADBE,2015,Shantanu Narayen
Adobe Inc.,ADBE,2016,Shantanu Narayen
Adobe Inc.,ADBE,2017,Shantanu Narayen
Adobe Inc.,ADBE,2018,Shantanu Narayen
Adobe Inc.,ADBE,2019,Shantanu Narayen
"Cisco Systems, Inc.",CSCO,2010,John T. Chambers
"Cisco Systems, Inc.",CSCO,2011,John T. Chambers
"Cisco Systems, Inc.",CSCO,2012,John T. Chambers
"Cisco Systems, Inc.",CSCO,2013,John T. Chambers
"Cisco Systems, Inc.",CSCO,2014,John T. Chambers
"Cisco Systems, Inc.",CSCO,2015,Chuck Robbins
"Cisco Systems, Inc.",CSCO,2016,Chuck Robbins
"Cisco Systems, Inc.",CSCO,2017,Chuck Robbins
"Cisco Systems, Inc.",CSCO,2018,Chuck Robbins
"Cisco Systems, Inc.",CSCO,2019,Chuck Robbins
Oracle Corporation,ORCL,2010,Larry Ellison
Oracle Corporation,ORCL,2011,Larry Ellison
Oracle Corporation,ORCL,2012,Larry Ellison
Oracle Corporation,ORCL,2013,Larry Ellison
Oracle Corporation,ORCL,2014,Safra Catz & Mark Hurd
Oracle Corporation,ORCL,2015,Safra Catz & Mark Hurd
Oracle Corporation,ORCL,2016,Safra Catz & Mark Hurd
Oracle Corporation,ORCL,2017,Safra Catz & Mark Hurd
Oracle Corporation,ORCL,2018,Safra Catz & Mark Hurd
Oracle Corporation,ORCL,2019,Safra Catz & Mark Hurd
"Salesforce, Inc.",CRM,2010,Marc Benioff
"Salesforce, Inc.",CRM,2011,Marc Benioff
"Salesforce, Inc.",CRM,2012,Marc Benioff
"Salesforce, Inc.",CRM,2013,Marc Benioff
"Salesforce, Inc.",CRM,2014,Marc Benioff
